"parentTconst";"seasonNumber";"episodeNumber";"title_basics_titleBasicsId"
10667296;1;4;73745
1049986;2;16;73748
165593;10;8;73757
1049986;2;7;73763
72574;1;0;73777
806910;1;52;73789
806910;1;55;73790
165592;6;8;73805
1049986;2;6;73821
165592;6;2;73828
164295;4;6;73890
806910;1;50;73912
806910;1;51;73938
159876;0;0;74088
73961;1;0;74171
165592;7;1;74182
165592;7;7;74255
762803;3;4;74261
73972;1;0;74301
165593;11;7;74307
167732;1;23;74318
1466074;5;4;74327
1466074;6;1;74328
1466074;5;6;74329
1466074;5;5;74330
1466074;6;2;74331
165592;6;24;74428
762803;4;2;74429
165592;6;23;74453
165593;11;8;74551
75510;1;0;74558
73994;1;0;74568
207281;1;1;74580
165592;6;25;74648
75517;1;0;74655
10549352;0;0;74668
10549352;0;0;74669
1049986;3;9;74674
1043199;1;3;74690
762803;3;9;74725
165592;6;17;74726
75523;1;0;74753
259806;7;2;74759
75524;1;0;74772
762803;4;3;74822
165593;11;6;74823
77027;1;0;74834
1049986;5;2;74854
762803;4;1;74895
74026;1;0;74922
165592;6;12;74988
10549352;0;0;75000
75552;1;0;75022
165592;6;22;75050
762803;3;8;75072
331805;2;6;75075
762803;3;5;75095
1380837;1;1;75124
165592;7;3;75149
74054;1;0;75193
806910;1;66;75308
806910;1;73;75309
806910;1;63;75310
165592;6;21;75331
165593;11;5;75351
169416;1;5;75422
1049986;3;4;75446
165592;7;6;75450
806910;1;61;75460
165592;8;3;75622
958967;1;3;75623
1294801;1;2;75661
76975;1;1;75671
165593;12;6;75673
167732;1;24;75719
400019;1;3;75761
1724507;1;17;75828
1466074;6;3;75864
1466074;7;2;75865
1466074;7;1;75866
165592;8;2;75869
400019;1;6;75986
958967;1;2;76007
77008;1;1;76016
165593;12;7;76132
400019;1;4;76143
934712;1;3;76156
400019;1;5;76163
77031;1;1;76190
75519;1;1;76225
208624;1;10;76267
159876;0;0;76269
165592;7;9;76273
806901;7;2;76279
75532;1;0;76335
75533;1;1;76357
927664;1;2;76375
165592;8;7;76376
75539;1;0;76421
806910;1;82;76429
75529;1;0;76450
1245432;1;4;76482
75551;1;0;76503
1049986;6;9;76530
1245432;1;1;76547
1057900;1;1;76565
1049986;6;10;76608
75573;1;0;76640
958967;1;6;76705
958967;1;4;76718
165592;8;1;76775
806910;1;72;76799
806910;1;75;76800
400019;1;2;76819
165593;13;2;76906
165593;12;4;76925
165593;13;1;76942
165593;14;1;77035
165592;8;17;77129
78564;1;0;77196
165592;9;7;77282
120958;4;1;77310
46593;24;16;77325
5272570;1;1;77346
5272570;1;2;77347
1466074;7;4;77352
1466074;7;3;77353
1466074;7;5;77354
1245432;2;1;77378
165593;13;7;77397
165592;8;15;77424
165592;9;4;77437
68067;7;3;77496
75471;1;10;77515
958967;1;16;77561
165593;13;3;77565
77011;1;0;77568
958967;1;20;77569
806910;1;64;77576
1471316;0;0;77582
1245432;2;6;77583
958967;1;22;77715
208624;1;11;77803
958967;2;1;77830
78643;1;1;77861
958967;1;19;77862
958967;1;11;77953
4322992;1;2;78003
4322992;1;3;78004
4322992;1;1;78005
77008;1;2;78160
806910;1;83;78181
71054;5;1;78246
958967;1;17;78247
165592;9;6;78301
806910;1;91;78363
806910;1;90;78364
806910;1;87;78365
77093;1;0;78454
2786254;1;2;78455
159876;6;5;78459
958967;1;21;78486
165592;9;15;78491
762803;6;4;78735
1294801;1;5;78758
165592;9;14;78882
77031;2;1;78904
1686687;0;0;78922
165592;10;3;78984
165592;9;20;78985
81845;1;0;78990
958967;1;23;78996
78595;1;0;79033
1245432;3;3;79034
72543;1;3;79071
78697;1;1;79129
958967;2;2;79131
80227;1;1;79259
78622;1;0;79272
78635;1;1;79391
2487424;1;1;79458
2487424;1;2;79459
1686687;0;0;79496
806910;1;107;79530
165593;14;2;79536
958967;2;12;79663
1015569;1;1;79666
7810182;1;1;79752
78681;1;0;79847
762803;6;1;79863
806910;1;100;79865
806910;1;97;79989
806910;1;96;79990
806910;1;95;79991
806910;1;101;79992
806910;1;104;79993
806910;1;105;79994
806910;1;106;79995
80289;1;1;80005
159876;6;10;80059
165593;14;3;80106
165593;14;5;80138
79902;1;2;80263
3662072;0;0;80400
762803;7;1;80507
81863;1;0;80744
762803;6;9;80782
762803;7;5;80819
806910;1;119;80866
762803;6;15;80918
165592;11;10;80954
762803;7;13;80967
159876;0;0;81054
80240;1;1;81103
927664;1;5;81143
165592;11;6;81251
165593;15;2;81275
762803;6;25;81282
762803;6;8;81333
199214;1;2;81444
806910;1;113;81462
75471;4;1;81468
80231;1;7;81516
80276;1;0;81524
806910;1;114;81548
806910;1;111;81599
806910;1;112;81600
806910;1;108;81601
806910;1;117;81602
806910;1;118;81603
806910;1;115;81604
81826;1;0;82008
202179;11;1;82018
176357;1;5;82024
806910;1;122;82067
81837;1;1;82104
83395;1;0;82130
81843;1;0;82188
176357;1;6;82191
165592;11;8;82390
75471;3;8;82458
176357;2;4;82604
83464;1;0;82901
399943;3;4;83132
159876;0;0;83140
