"titleBasicsId";"titleType";"primaryTitle";"originalTitle";"isAdult";"startYear";"endYear";"runTimeMinutes";"genres"
19079;"short";"Leave 'em Laughing";"Leave 'em Laughing";0;"1928";"";22;""
19080;"movie";"The Legion of the Condemned";"The Legion of the Condemned";0;"1928";"";80;""
19081;"movie";"Die Leibeigenen";"Die Leibeigenen";0;"1928";"";0;""
19082;"movie";"The Lemon";"The Lemon";0;"1928";"";0;""
19083;"movie";"Leontines Ehemänner";"Leontines Ehemänner";0;"1928";"";0;""
19084;"movie";"The Leopard Lady";"The Leopard Lady";0;"1928";"";70;""
19085;"movie";"Let 'Er Go Gallegher";"Let 'Er Go Gallegher";0;"1928";"";60;""
19086;"movie";"The Last Fort";"Das letzte Fort";0;"1929";"";0;""
19087;"movie";"Theatre";"Das letzte Souper";0;"1928";"";70;""
19088;"movie";"Love in Kuhstall";"Liebe im Kuhstall";0;"1928";"";0;""
19089;"movie";"Liebe und Diebe";"Liebe und Diebe";0;"1928";"";0;""
19090;"movie";"Liebensraum";"Liebensraum";0;"1928";"";0;""
19091;"movie";"Liebfraumilch";"Liebfraumilch";0;"1929";"";0;""
19092;"movie";"Life's Crossroads";"Life's Crossroads";0;"1928";"";0;""
19093;"movie";"Life's Mockery";"Life's Mockery";0;"1928";"";0;""
19094;"movie";"Life's a Stage";"Life's a Stage";0;"1930";"";0;""
19095;"movie";"Lightning Speed";"Lightning Speed";0;"1928";"";0;""
19096;"movie";"Lights of New York";"Lights of New York";0;"1928";"";57;""
19097;"movie";"Lights of Paris";"Lights of Paris";0;"1928";"";65;""
19098;"movie";"Lilac Time";"Lilac Time";0;"1928";"";80;""
19099;"movie";"Lingerie";"Lingerie";0;"1928";"";5;""
19100;"movie";"The Lion and the Mouse";"The Lion and the Mouse";0;"1928";"";0;""
19101;"short";"The Lion's Roar";"The Lion's Roar";0;"1928";"";20;""
19102;"movie";"Les lions";"Les lions";0;"1928";"";0;""
19103;"movie";"Skirts";"A Little Bit of Fluff";0;"1928";"";72;""
19104;"movie";"The Little Shepherd of Kingdom Come";"The Little Shepherd of Kingdom Come";0;"1928";"";80;""
19105;"movie";"The Little Snob";"The Little Snob";0;"1928";"";0;""
19106;"movie";"The Little Wild Girl";"The Little Wild Girl";0;"1928";"";60;""
19107;"movie";"The Little Yellow House";"The Little Yellow House";0;"1928";"";0;""
19108;"movie";"The Lone Patrol";"The Lone Patrol";0;"1928";"";0;""
19109;"movie";"Lonesome";"Lonesome";0;"1928";"";69;""
19110;"movie";"Looping the Loop";"Die Todesschleife";0;"1928";"";123;""
19111;"movie";"Lotte";"Lotte";0;"1928";"";0;""
19112;"movie";"Love Hungry";"Love Hungry";0;"1928";"";60;""
19113;"movie";"Love Me and the World Is Mine";"Love Me and the World Is Mine";0;"1927";"";60;""
19114;"movie";"Love Over Night";"Love Over Night";0;"1928";"";60;""
19115;"movie";"Love and Learn";"Love and Learn";0;"1928";"";60;""
19116;"short";"Love at First Flight";"Love at First Flight";0;"1928";"";0;""
19117;"short";"Love in Black and White";"Amour noir et amour blanc";0;"1928";"";9;""
19119;"movie";"Loves of an Actress";"Loves of an Actress";0;"1928";"";80;""
19120;"movie";"Luna sleva";"Luna sleva";0;"1929";"";0;""
19121;"movie";"Mad Hour";"Mad Hour";0;"1928";"";70;""
19122;"movie";"Madame Récamier";"Madame Récamier";0;"1928";"";0;""
19123;"movie";"A Made-To-Order Hero";"A Made-To-Order Hero";0;"1927";"";40;""
19124;"movie";"Mademoiselle Parley Voo";"Mademoiselle Parley Voo";0;"1928";"";0;""
